,AAPL,TSLA,MSFT,VZ,AMZN,BA,MS,DB,JPM,META,INTC,GS,HPE,TCS,WMT,T,TGT,WFC,V
2012-02-15,17.773929595947266,2.240000009536743,30.049999237060547,37.83000183105469,9.22350025177002,75.20999908447266,18.959999084472656,40.98282241821289,37.400001525878906,38.22999954223633,26.57999992370605,113.16999816894533,9.618976593017578,36.20000076293945,61.7599983215332,22.560422897338867,51.810001373291016,30.170000076293945,28.77499961853028
2012-02-16,17.936071395874023,2.2786669731140137,31.290000915527344,38.04999923706055,8.996500015258789,75.2699966430664,19.190000534057617,42.08969497680664,38.0,38.22999954223633,26.82999992370605,114.73999786376952,9.618976593017578,36.20000076293945,62.040000915527344,22.673715591430664,51.93000030517578,30.3700008392334,28.450000762939453
2012-02-17,17.932857513427734,2.3313329219818115,31.25,38.459999084472656,9.125,75.3499984741211,19.15999984741211,42.54771041870117,38.470001220703125,38.22999954223633,27.3700008392334,115.91000366210938,9.618976593017578,36.20000076293945,62.47999954223633,22.666162490844727,52.63999938964844,31.09000015258789,28.752500534057617
2012-02-21,18.387500762939453,2.299999952316284,31.440000534057617,38.4900016784668,9.11299991607666,75.72000122070312,19.26000022888184,42.15649032592773,38.459999084472656,38.22999954223633,27.15999984741211,116.62999725341795,9.618976593017578,36.20000076293945,60.06999969482422,22.915407180786133,52.540000915527344,30.959999084472656,28.549999237060547
2012-02-22,18.32285690307617,2.281332969665528,31.270000457763672,38.209999084472656,9.029000282287598,76.05999755859375,18.729999542236328,41.70801544189453,38.06999969482422,38.22999954223633,26.729999542236328,114.36000061035156,9.618976593017578,36.20000076293945,58.59999847412109,22.87009048461914,52.970001220703125,30.59000015258789,29.09000015258789
2012-02-23,18.4424991607666,2.302000045776367,31.3700008392334,38.130001068115234,8.944499969482422,75.8499984741211,18.96999931335449,42.71946716308594,38.4900016784668,38.22999954223633,26.65999984741211,115.8000030517578,9.618976593017578,36.20000076293945,58.540000915527344,23.00604248046875,54.5,30.64999961853028,29.1200008392334
2012-02-24,18.65749931335449,2.25,31.479999542236328,38.13999938964844,8.956500053405762,76.05999755859375,18.489999771118164,44.66603088378906,38.27999877929688,38.22999954223633,26.700000762939453,115.87000274658205,9.618976593017578,36.20000076293945,58.790000915527344,22.915407180786133,55.220001220703125,30.18000030517578,29.38500022888184
2012-02-27,18.777143478393555,2.2413330078125,31.350000381469727,38.130001068115234,8.92650032043457,75.20999908447266,18.75,44.56106948852539,39.060001373291016,38.22999954223633,26.88999938964844,116.2300033569336,9.618976593017578,36.20000076293945,58.459999084472656,22.930513381958008,55.310001373291016,31.030000686645508,29.21500015258789
2012-02-28,19.12178611755371,2.253999948501587,31.8700008392334,38.150001525878906,9.1899995803833,75.16000366210938,18.709999084472656,44.99045944213867,39.209999084472656,38.22999954223633,27.239999771118164,117.11000061035156,9.618976593017578,36.20000076293945,58.93000030517578,23.05891227722168,56.0099983215332,31.3700008392334,29.737499237060547
2012-02-29,19.37285614013672,2.227333068847656,31.739999771118164,38.11000061035156,8.98449993133545,74.94999694824219,18.540000915527344,44.59923553466797,39.2400016784668,38.22999954223633,26.8799991607666,115.13999938964844,9.618976593017578,36.20000076293945,59.08000183105469,23.104230880737305,56.68999862670898,31.290000915527344,29.092500686645508
2012-03-01,19.445356369018555,2.2939999103546143,32.290000915527344,38.43000030517578,9.001999855041504,75.08000183105469,19.190000534057617,45.71564865112305,40.369998931884766,38.22999954223633,26.86000061035156,121.12999725341795,9.618976593017578,36.20000076293945,58.81999969482422,23.134441375732425,56.7599983215332,31.540000915527344,29.295000076293945
2012-03-02,19.4707145690918,2.2693328857421875,32.08000183105469,38.66999816894531,8.96500015258789,74.9000015258789,18.8700008392334,44.98091506958008,40.630001068115234,38.22999954223633,26.920000076293945,119.95999908447266,9.618976593017578,36.20000076293945,59.0099983215332,23.315710067749023,56.59000015258789,31.280000686645508,29.040000915527344
2012-03-05,19.04142951965332,2.251332998275757,31.799999237060547,39.0,9.012999534606934,74.12999725341797,18.290000915527344,44.48473358154297,40.400001525878906,38.22999954223633,26.540000915527344,118.62999725341795,9.618976593017578,36.20000076293945,59.400001525878906,23.406343460083008,56.70000076293945,30.96999931335449,29.059999465942383
2012-03-06,18.937856674194336,2.2073330879211426,31.559999465942383,38.68999862670898,9.054499626159668,72.55999755859375,17.31999969482422,41.58396911621094,39.31999969482422,38.22999954223633,26.61000061035156,113.66999816894533,9.618976593017578,36.20000076293945,58.970001220703125,23.209970474243164,56.4900016784668,30.11000061035156,28.709999084472656
2012-03-07,18.953214645385746,2.2079999446868896,31.84000015258789,38.869998931884766,9.18850040435791,73.5199966430664,17.8799991607666,42.843509674072266,39.95000076293945,38.22999954223633,26.90999984741211,116.4000015258789,9.618976593017578,36.20000076293945,59.86000061035156,23.32326316833496,56.63999938964844,30.40999984741211,28.90999984741211
2012-03-08,19.35678672790528,2.204667091369629,32.0099983215332,39.220001220703125,9.381999969482422,74.16999816894531,18.18000030517578,45.00954055786133,40.43999862670898,38.22999954223633,26.84000015258789,117.16999816894533,9.618976593017578,36.20000076293945,59.77000045776367,23.413896560668945,57.22999954223633,31.39999961853028,29.49250030517578
2012-03-09,19.47035789489746,2.315999984741211,31.989999771118164,39.09999847412109,9.215999603271484,73.29000091552734,18.3700008392334,44.07442855834961,41.02999877929688,38.22999954223633,27.06999969482422,117.29000091552734,9.618976593017578,36.20000076293945,60.08000183105469,23.549848556518555,57.68999862670898,31.65999984741211,29.292499542236328
2012-03-12,19.71428680419922,2.4006669521331787,32.040000915527344,39.31999969482422,9.169500350952148,73.5999984741211,18.200000762939453,44.84732818603516,40.540000915527344,38.22999954223633,26.989999771118164,116.98999786376952,9.618976593017578,36.20000076293945,60.68000030517578,23.74622344970703,57.97999954223633,31.51000022888184,29.13249969482422
2012-03-13,20.28928565979004,2.4059998989105225,32.66999816894531,39.47999954223633,9.229499816894531,74.30999755859375,18.93000030517578,46.80343627929688,43.38999938964844,38.22999954223633,27.489999771118164,124.54000091552734,9.618976593017578,36.20000076293945,61.0,23.88972854614257,58.47999954223633,33.33000183105469,29.3174991607666
2012-03-14,21.05642890930176,2.352667093276977,32.77000045776367,39.470001220703125,9.11299991607666,75.2300033569336,18.600000381469727,47.48091506958008,43.58000183105469,38.22999954223633,27.459999084472656,120.37000274658205,9.618976593017578,36.20000076293945,61.08000183105469,23.75377655029297,58.59999847412109,33.369998931884766,29.1875
2012-03-15,20.912857055664062,2.3333330154418945,32.849998474121094,39.540000915527344,9.221500396728516,75.43000030517578,19.51000022888184,48.15839767456055,44.70000076293945,38.22999954223633,27.75,123.05999755859376,9.618976593017578,36.20000076293945,61.22999954223633,23.89728164672852,58.75,34.06999969482422,29.25
2012-03-16,20.9132137298584,2.354666948318481,32.599998474121094,39.56999969482422,9.2524995803833,75.19999694824219,19.530000686645508,48.70228958129883,44.56999969482422,38.22999954223633,27.729999542236328,122.93000030517578,9.618976593017578,36.20000076293945,60.84000015258789,23.859516143798828,58.40999984741211,33.88999938964844,29.170000076293945
2012-03-19,21.467857360839844,2.3320000171661377,32.20000076293945,39.650001525878906,9.276000022888184,75.4000015258789,20.059999465942383,49.66603088378906,45.0,38.22999954223633,27.739999771118164,124.3000030517578,9.618976593017578,36.20000076293945,60.7400016784668,23.904834747314453,58.369998931884766,34.25,29.709999084472656
2012-03-20,21.641429901123047,2.330667018890381,31.989999771118164,39.630001068115234,9.616499900817873,75.13999938964844,20.40999984741211,49.08396911621094,45.380001068115234,38.22999954223633,27.75,126.0199966430664,9.618976593017578,36.20000076293945,60.59999847412109,24.010574340820312,58.0099983215332,34.31999969482422,29.1299991607666
2012-03-21,21.51785659790039,2.343333005905152,31.90999984741211,39.77999877929688,9.58650016784668,75.01000213623047,20.059999465942383,48.58778762817383,45.119998931884766,38.22999954223633,27.780000686645508,125.98999786376952,9.618976593017578,36.20000076293945,60.560001373291016,24.048337936401367,57.56999969482422,34.02000045776367,29.1875
2012-03-22,21.405000686645508,2.293333053588867,32.0,39.65999984741211,9.619999885559082,73.91999816894531,19.59000015258789,47.89122009277344,44.650001525878906,38.22999954223633,27.89999961853028,124.73999786376952,9.618976593017578,36.20000076293945,60.650001525878906,23.950151443481445,57.93000030517578,33.36000061035156,29.31999969482422
2012-03-23,21.287500381469727,2.2720000743865967,32.0099983215332,39.41999816894531,9.751999855041504,73.97000122070312,20.32999992370605,48.59732818603516,45.15999984741211,38.22999954223633,27.8799991607666,126.18000030517578,9.618976593017578,36.20000076293945,60.75,23.8066463470459,58.18999862670898,33.529998779296875,29.69499969482422
